date,stable_median,stable_mode,stable_mean,stable_std,stable_count,mode_estimate,true_weight,bird_name,bird_id
2025-06-18,16.630999999999997,16.512999999999998,16.53940543881335,0.4221053007495565,809,16.74,16.58,lwrb,6
2025-06-19,16.659,16.682,16.632856028002948,0.2275293938272121,1357,16.66,16.54,lwrb,6
2025-06-20,16.383999999999997,16.418,16.37417027758971,0.1248997933444863,1477,16.41,16.68,lwrb,6
2025-06-11,17.891000000000002,17.861,17.8977902988731,0.2010789063828372,2041,17.92,18.34,lp92llb8,3
2025-06-12,17.890499999999996,18.143,17.596392720306515,0.8417321329677938,522,18.36,18.59,lp92llb8,3
2025-06-13,17.743,17.747,17.434076720966896,0.6699492199468876,1903,17.75,18.28,lp92llb8,3
2025-06-14,17.492999999999995,17.497,17.295547607768828,0.6294985655737604,2111,17.54,18.45,lp92llb8,3
2025-06-15,15.297999999999998,15.213,15.409232472324724,0.650530417070742,271,15.86,18.29,lp92llb8,3
2025-06-16,17.156,17.037,17.257992408557623,0.3286996972381188,1449,17.05,18.55,lp92llb8,3
2025-06-17,18.002000000000002,17.932,18.056426486961616,0.4326394519217917,3413,17.96,18.63,lp92llb8,3
2025-06-18,18.315,18.317,18.285510271703114,0.3563927792752135,3018,18.31,18.54,lp92llb8,3
2025-06-19,18.042,17.775,17.990791988239618,0.3072409431641271,2721,17.79,18.65,lp92llb8,3
2025-06-20,18.059,18.058,18.04570603848706,0.133966242142927,1507,18.07,18.5,lp92llb8,3
2025-06-11,19.345999999999997,19.058,19.42167249171437,0.2831762758322985,3319,19.29,18.89,ro,1
2025-06-12,19.476,19.397,19.477516066212267,0.1967509826496802,3081,19.51,18.99,ro,1
2025-06-13,19.244000000000003,19.281,19.226584567420108,0.196498207132461,3849,19.24,18.64,ro,1
2025-06-14,18.935,18.781,18.95748308554191,0.2260750156447041,4641,18.9,18.13,ro,1
2025-06-15,18.856,18.823,18.896140960656528,0.3139087863404111,4143,18.69,18.43,ro,1
2025-06-16,18.775,18.573,18.79491702937976,0.2387279017483801,3676,18.74,18.3,ro,1
2025-06-17,18.707,18.562,18.78803770591824,0.2887741262899345,3278,18.57,17.95,ro,1
2025-06-18,18.791000000000004,18.811,18.77773801369863,0.2179319650982966,2920,18.83,17.83,ro,1
2025-06-19,18.618,18.546,18.61956716917923,0.2039249313058675,2985,18.66,17.99,ro,1
2025-06-20,18.609,18.647,18.584080493084787,0.5074945405293988,1663,18.64,18.02,ro,1
